Fecha,Hora,Vel. Viento (m/s),Direccion Viento
02-06-2021,14:20,0.8,179
02-06-2021,14:30,0.8,177
02-06-2021,14:40,0.9,176
02-06-2021,14:50,1.0,177
02-06-2021,15:00,1.4,177
02-06-2021,15:10,1.8,178
02-06-2021,15:20,2.3,177
02-06-2021,15:30,2.8,176
02-06-2021,15:40,3.1,174
02-06-2021,15:50,3.3,173
02-06-2021,16:00,3.3,172
02-06-2021,16:10,3.3,172
02-06-2021,16:20,3.3,172
02-06-2021,16:30,3.3,171
02-06-2021,16:40,3.4,171
02-06-2021,16:50,3.5,172
02-06-2021,17:00,3.7,173
02-06-2021,17:10,3.8,174
02-06-2021,17:20,3.9,175
02-06-2021,17:30,4.0,173
02-06-2021,17:40,4.0,170
02-06-2021,17:50,4.0,164
02-06-2021,18:00,3.8,156
02-06-2021,18:10,3.7,146
02-06-2021,18:20,3.7,136
02-06-2021,18:30,3.8,124
02-06-2021,18:40,3.9,110
02-06-2021,18:50,4.0,96
02-06-2021,19:00,4.1,87
02-06-2021,19:10,4.1,80
02-06-2021,19:20,4.1,74
02-06-2021,19:30,4.0,69
02-06-2021,19:40,3.9,64
02-06-2021,19:50,3.8,59
02-06-2021,20:00,3.7,56
02-06-2021,20:10,3.5,54
02-06-2021,20:20,3.3,53
02-06-2021,20:30,3.1,53
02-06-2021,20:40,3.0,53
02-06-2021,20:50,2.8,53
02-06-2021,21:00,2.7,52
02-06-2021,21:10,2.5,51
02-06-2021,21:20,2.3,49
02-06-2021,21:30,2.2,47
02-06-2021,21:40,2.0,44
02-06-2021,21:50,1.9,39
02-06-2021,22:00,1.9,34
02-06-2021,22:10,1.8,27
02-06-2021,22:20,1.9,21
02-06-2021,22:30,2.0,17
02-06-2021,22:40,2.1,16
02-06-2021,22:50,2.2,15
02-06-2021,23:00,2.3,15
02-06-2021,23:10,2.3,14
02-06-2021,23:20,2.3,13
02-06-2021,23:30,2.3,11
02-06-2021,23:40,2.3,10
02-06-2021,23:50,2.2,8
